base,pos,gw,freq
"attach importance/value, etc. to sb/sth",lexical_chunk,none,C2
attach,verb,INCLUDE,C2
attached,adjective,CONNECTED TO,B2
attached to sb/sth,lexical_chunk,none,C1
attachment,noun,EQUIPMENT,B2
attachment,noun,COMPUTING,B2
attachment,noun,FEELING,C2
attack,verb,TRY TO HURT,B1
attack,verb,CRITICIZE,C1
attack,verb,DISEASE,C2
attack,noun,none,B1
attack,noun,CRITICISM,C2
attain,verb,none,C1
attainable,adjective,none,C2
attempt,verb,none,B1
attempt,noun,none,B2
attend,verb,BE PRESENT,B1
"attend a church/college/school, etc.",lexical_chunk,none,B1
attendance,noun,NUMBER,C1
attendance,noun,REGULARLY,C1
in attendance,lexical_chunk,none,C2
attention,noun,NOTICE,B1
pay attention (to sth),lexical_chunk,none,B1
attract/get (sb's) attention,lexical_chunk,none,B2
draw (sb's) attention to sth/sb,lexical_chunk,none,B2
be the center of attention,lexical_chunk,none,C2
attic,noun,none,B2
attitude,noun,none,B1
attorney,noun,none,C1
attract,verb,ENCOURAGE INTEREST,B1
"attract attention/interest, etc.",lexical_chunk,none,B1
be attracted to sb,lexical_chunk,none,B2
attraction,noun,THING TO SEE OR DO,B1
attraction,noun,FEELING,C2
attractive,adjective,BEAUTIFUL,A2
attractive,adjective,INTERESTING,B2
attribute sth to sth,lexical_chunk,none,C2
attribute,noun,none,C2
auction,noun,none,C1
audience,noun,GROUP,B1
audience,noun,TYPE,B2
audition,noun,none,C1
August,noun,none,A1
aunt,noun,none,A2
authentic,adjective,none,C1
author,noun,none,B1
authority,noun,POWER,B2
authority,noun,OFFICIAL,C1
an authority on sth,lexical_chunk,none,C2
authorize,verb,none,C1
be authorized to do sth,lexical_chunk,none,C1
automatic,adjective,MACHINE,B2
automatic,adjective,PERSON,C2
automatic,adjective,CERTAIN,C2
automatically,adverb,MACHINE,B2
automatically,adverb,PERSON,B2
availability,noun,none,B2
available,adjective,ABLE TO GET,A2
available,adjective,NOT BUSY,A2
avenue,noun,STREET,C1
avenue,noun,POSSIBILITY,C2
average,adjective,USUAL,A2
average,adjective,AMOUNT,B1
average,adjective,NOT EXCELLENT,C1
average,noun,AMOUNT,B1
average,noun,USUAL/TYPICAL,B1
on average,lexical_chunk,none,B2
avoid,verb,STAY AWAY FROM,B1
avoid,verb,PREVENT,B2
avoid doing sth,lexical_chunk,none,B2
awake,adjective,none,B1
be wide awake,lexical_chunk,none,C2
award,verb,none,B2
award,noun,PRIZE,B2
aware,adjective,none,B2
awareness,noun,none,C1
away,adverb,SOMEWHERE ELSE,A2
away,adverb,DISTANCE FROM,A2
away,adverb,INTO PLACE,B1
"two weeks/five hours, etc. away",lexical_chunk,none,B1
away,adverb,GRADUALLY,B2
away,adverb,SPORTS,C1
away,adverb,CONTINUOUS ACTION,C2
awe,noun,none,C2
be in awe of sb,lexical_chunk,none,C2
awesome,adjective,GOOD,A2
awesome,adjective,SPECIAL,C2
awful,adjective,BAD,A2
an awful lot (of sth),lexical_chunk,none,B2
awkward,adjective,DIFFICULT,B2
awkward,adjective,EMBARRASSING,B2
awkward,adjective,WITHOUT BEAUTY,C2
baby,noun,CHILD,A1
baby,noun,ANIMAL,A2
babysit,verb,none,B1
babysitter,noun,none,B1
back,adverb,RETURNING,A1
back,adverb,REPLY,A2
back,adverb,BEHIND,B1
back,adverb,STATE,B2
back,adverb,EARLIER,B2
back,adverb,AWAY FROM,B2
back and forth,lexical_chunk,none,C2
the back,lexical_chunk,none,A2
back,noun,BODY,A2
in back of sb/sth,lexical_chunk,none,B1
back,noun,SEAT,C2
behind sb's back,lexical_chunk,none,C2
turn your back on sb/sth,lexical_chunk,none,C2
back,adjective,AT BACK,A2
back road/street,lexical_chunk,none,C1
back,verb,SUPPORT,C2
"back (sth) away/into/out, etc.",lexical_chunk,none,C2
back off,lexical_chunk,none,C2
back out,lexical_chunk,none,C1
back up sb or back sb up,lexical_chunk,none,B2
back up sth or back sth up,lexical_chunk,none,C2
back up (sth) or back (sth) up,lexical_chunk,none,B2
backache,noun,none,B1
background,noun,EXPERIENCE,B1
background,noun,SOUND,B2
background,noun,PICTURE,B2
background,noun,SITUATION,B2
backing,noun,none,C2
backpack,noun,none,A2
backpacker,noun,none,B1
backpacking,noun,none,B1
backup,noun,EXTRA HELP,B2
backup,noun,COPY,B2
backward,adverb,BEHIND,B1
bend over backwards,lexical_chunk,none,C1
backward,adjective,LESS DEVELOPED,C2
backyard,noun,none,B1
bacon,noun,none,B1
bacteria,noun,none,C1
bad,adjective,UNPLEASANT,A1
bad,adjective,LOW QUALITY,A2
not (too) bad,lexical_chunk,none,A2
be bad for sb/sth ,lexical_chunk,none,A2
bad,adjective,SEVERE,B1
bad,adjective,NOT LUCKY,B1
feel bad about sth/doing sth ,lexical_chunk,none,B1
too bad,lexical_chunk,none,B1
bad,adjective,EVIL,B1
bad,adjective,NOT FRESH,B2
bad,adjective,PAINFUL,C1
too bad,lexical_chunk,none,C1
badge,noun,none,B2
badly,adverb,LOW QUALITY,A2
badly,adverb,VERY MUCH,A2
badly,adverb,VERY SERIOUSLY,A2
badly,adverb,UNPLEASANT,B2
badminton,noun,none,A2
bad-tempered,adjective,none,B2
bag,noun,none,A1
baggage,noun,BAGS,B1
baggage,noun,FEELINGS,C2
bake,verb,none,A2
baker,noun,none,B1
bakery,noun,none,B2
balance,noun,WEIGHT,B2
balance,noun,EQUAL IMPORTANCE,B2
balance,noun,MONEY,B2
on balance,lexical_chunk,none,B2
lose your balance,lexical_chunk,none,C1
strike a balance,lexical_chunk,none,C1
hang in the balance,lexical_chunk,none,C2
balance,verb,NOT FALLING,B2
balance,verb,EQUAL IMPORTANCE ,B2
a balanced diet/meal,lexical_chunk,none,B2
balanced,adjective,FAIR,B2
balcony,noun,HOUSE ETC.,B1
balcony,noun,THEATER,C2
bald,adjective,none,B1
ball,noun,ROUND OBJECT,A1
be on the ball,lexical_chunk,none,C1
get/start the ball rolling,lexical_chunk,none,C2
ballet,noun,none,B2
balloon,noun,none,A2
ban,verb,none,B2
ban,noun,none,B2
banana,noun,none,A1
band,noun,none,A1
band,noun,THIN PIECE,C2
bandage,noun,none,A2
bang,verb,none,B2
bang,noun,none,B2
bank,noun,MONEY,A1
bank,noun,RIVER,B2
bank account,noun,none,B2
banker,noun,none,B2
banking,noun, MONEY MANAGEMENT,A2
banking,noun,BUSINESS,B2
bankrupt,adjective,none,C1
bar,noun,DRINKING PLACE,A2
bar,noun,BLOCK,B2
bar,noun,LONG PIECE,B2
behind bars,lexical_chunk,none,B2
barbecue,noun,PARTY,A2
barbecue,noun,EQUIPMENT,A2
barbecue,verb,none,B1
barbecued,adjective,none,B1
barber,noun,none,B1
barbershop,noun,none,B1
bare,adjective,NO CLOTHES,C1
bare,adjective,NOT COVERED,C1
bare,adjective,BASIC,C2
bare,adjective,EMPTY,C2
with your bare hands,lexical_chunk,none,C2
barely,adverb,none,C1
bargain,noun,none,B1
in the bargain,lexical_chunk,none,C2
bark,verb,DOG,B2
bark,noun,TREE,C2
barn,noun,none,C2
barrier,noun,FENCE,B2
barrier,noun,PREVENTING,B2
bartender,noun,none,B2
base,noun,BOTTOM,B2
base,noun,MILITARY,B2
base,noun,MAIN PLACE,C2
base,noun,MAIN PART,C2
be based in/at,lexical_chunk,none,B2
base sth on sth ,lexical_chunk,none,B1
baseball,noun,none,A1
basement,noun,none,B2
basic,adjective,MAIN,B1
basic,adjective,NECESSARY,B1
basic,adjective,SIMPLE,B1
basically,adverb,SIMPLY,B2
basically,adverb,MOSTLY,B2
the basics,lexical_chunk,none,B2
"on a regular/daily/weekly, etc., basis",lexical_chunk,none,B2
basis,noun,METHOD,B2
basis,noun,REASON,C1
on the basis of sth,lexical_chunk,none,C1
basis,noun,BEGINNING,C1
basket,noun,none,B1
basketball,noun,none,A1
bat,noun,STICK,A1
bat,noun,ANIMAL,B1
bath,noun,none,A1
bathing suit,noun,none,A2
bathroom,noun,ROOM,A1
go to the bathroom,lexical_chunk,none,A2
bathtub,noun,none,B1
battery,noun,none,A2
recharge your batteries,lexical_chunk,none,C2
battle,noun,WAR,B1
battle,noun,PROBLEMS/ILLNESS,B2
battle,noun,ARGUMENT,C2
battle,verb,none,C2
bay,noun,WATER,B1
keep/hold sb/sth at bay,lexical_chunk,none,C2
"I am Spanish/a teacher, etc.",lexical_chunk,none,A1
"there is/there are/there was, etc.",lexical_chunk,none,A1
be,verb,POSITION,A1
have/has been to,lexical_chunk,none,A2
be,auxiliary verb,CONTINUE,A2
be,auxiliary verb,PASSIVE,A2
beach,noun,none,A1
beak,noun,none,C1
beam,noun,none,B2
bean,noun,none,A1
bear,noun,none,A2
bear,verb,ACCEPT,C1
bear,verb,HAVE,C1
bear left/right,lexical_chunk,none,C1
"bear a/no/some, etc., resemblance to sb/sth",lexical_chunk,none,C2
bear,verb,HAVE CHILD,C2
bear fruit,lexical_chunk,none,C2
grin and bear it,lexical_chunk,none,C2
beard,noun,none,A1
beat,verb,DEFEAT,B1
beat,verb,HEART,B1
beat,verb,HIT,B2
beat,verb,BETTER THAN,B2
beat around the bush,lexical_chunk,none,C1
beat,verb,MIX,C1
beat,verb,SOUND,C2
you can't beat sth,lexical_chunk,none,C2
off the beaten track,lexical_chunk,none,C2
beat up sb or beat sb up,lexical_chunk,none,B2
beat,noun,REGULAR SOUND,B2
beat,noun,MUSIC,B2
beautiful,adjective,ATTRACTIVE,A1
beautiful,adjective,PLEASANT,A1
beautifully,adverb,none,B1
beauty,noun,BEING BEAUTIFUL,B1
the beauty of sth,lexical_chunk,none,C2
because,conjunction,none,A1
because of,preposition,none,B1
"become available/rich/a writer, etc.",lexical_chunk,none,A2
become of sb/sth,lexical_chunk,none,C2
bed,noun,FOR SLEEP,A1
bed,noun,BOTTOM,C2
bed,noun,GROUND,C2
bedroom,noun,none,A1
bee,noun,none,B1
beef,noun,none,B1
beer,noun,none,A1
before,preposition,EARLIER,A1
before,preposition,PLACE,A2
before,preposition,IN FRONT OF,B1
before,preposition,IN ORDER,B1
before,preposition,IMPORTANCE,C2
before,conjunction,EARLIER,A2
before,conjunction,TO AVOID SOMETHING,B1
before,conjunction,UNTIL,B1
before you know it,lexical_chunk,none,C1
before,adverb,none,A2
long before,lexical_chunk,none,C2
beg,verb,STRONG REQUEST,B2
beg,verb,VERY POOR,B2
begin,verb,START TO HAPPEN,A1
begin,verb,START TO DO,A2
begin with sth ,lexical_chunk,none,B1
to begin with,lexical_chunk,none,B1
to begin with,lexical_chunk,none,B2
beginner,noun,none,A2
beginning,noun,none,A2
on behalf of sb or on sb's behalf,lexical_chunk,none,B2
behave,verb,IN A PARTICULAR WAY,B1
behave,verb,BE POLITE,B1
behavior,noun,none,B1
behind,preposition,BACK,A1
behind,preposition,SLOWER,B1
behind,preposition,SUPPORTING,B1
behind,preposition,CAUSING,C1
behind the times,lexical_chunk,none,C1
behind,preposition,NOT AFFECTING,C2
behind closed doors,lexical_chunk,none,C2
behind the scenes,lexical_chunk,none,C2
behind,adverb,BACK,B1
behind,adverb,SLOWER,C1
come into being,lexical_chunk,none,C2
belief,noun,TRUE,B2
belief,noun,IDEA,B2
belief,noun,EFFECTIVE,C2
believe,verb,TRUE,A2
believe,verb,THINK,A2
not believe your eyes/ears,lexical_chunk,none,B1
believe it or not,lexical_chunk,none,B1
believe in sth ,lexical_chunk,none,B1
believe in sth/doing sth ,lexical_chunk,none,B2
bell,noun,ELECTRICAL OBJECT,B1
bell,noun,METAL OBJECT,B2
ring a bell,lexical_chunk,none,C2
belong,verb,RIGHT PLACE,B2
belong,verb,HAPPY SOMEWHERE,B2
belong to sb ,lexical_chunk,none,A2
belong to sth ,lexical_chunk,none,B1
belongings,noun,none,B2
below,adverb,POSITION,A1
below,preposition,POSITION,A1
below,adverb,LESS,B1
below,preposition,LESS,B1
below,adverb,RANK,C2
below,preposition,RANK,C2
belt,noun,CLOTHING,A2
tighten your belt,lexical_chunk,none,C2
bench,noun,none,B2
bend,verb,BODY,B2
bend,verb,CURVE,B2
bend,noun,none,B2
beneath,preposition,UNDER,B2
beneath,preposition,NOT GOOD ENOUGH,C2
beneficial,adjective,none,B2
benefit,noun,HELP,B1
benefit,noun,SERVICE,B1
give sb the benefit of the doubt,lexical_chunk,none,C2
for sb's/sth's benefit / for the benefit of sb/sth,lexical_chunk,none,C2
benefit,verb,none,B2
berry,noun,none,B2
beside,preposition,none,B1
beside yourself,lexical_chunk,none,C2
besides,preposition,none,B1
besides,adverb,EXTRA REASON,B1
besides,adverb,IN ADDITION TO,B1
best,adjective,BETTER THAN ALL,A1
best wishes,lexical_chunk,none,A2
the next best thing,lexical_chunk,none,C1
your best bet,lexical_chunk,none,C2
best,adverb,MOST,A1
best,adverb,MOST SUITABLE,B1
know best,lexical_chunk,none,C2
the best,lexical_chunk,none,B1
do/try your best,lexical_chunk,none,B1
make the best of sth,lexical_chunk,none,B2
(have) the best of both worlds,lexical_chunk,none,C1
for the best,lexical_chunk,none,C2
bring out the best in sb,lexical_chunk,none,C2
bestseller,noun,none,B2
I bet (you),lexical_chunk,none,B1
bet,verb,none,C1
bet,noun,GUESS,C2
a safe bet,lexical_chunk,none,C2
betray,verb,none,B2
better,adjective,HIGHER STANDARD,A1
better,adjective,HEALTHY,A1
have seen better days,lexical_chunk,none,C2
better,adverb,WELL,A2
"I/you/he, etc. had better do sth ",lexical_chunk,none,A2
know better,lexical_chunk,none,C2
between,preposition,SPACE,A1
between,preposition,TIME,A1
between,preposition,INVOLVE,A1
between,preposition,AMOUNT,A2
between,preposition,CONNECT,A2
between,preposition,SEPARATE,A2
between,preposition,SHARE,B1
read between the lines,lexical_chunk,none,C2
between,adverb,SPACE,C1
between,adverb,TIME,C1
few and far between,lexical_chunk,none,C2
beware,verb,none,C1
beyond,preposition,TIME,B1
beyond,preposition,DISTANCE,B2
"beyond my/our, etc. control",lexical_chunk,none,B2
beyond,preposition,INVOLVING MORE,C1
beyond,preposition,AMOUNT,C2
sth is beyond me,lexical_chunk,none,C2
beyond (a) doubt,lexical_chunk,none,C2
beyond a/the shadow of a doubt,lexical_chunk,none,C2
beyond your wildest dreams,lexical_chunk,none,C2
beyond,adverb,PLACE,C1
beyond,adverb,TIME,C2
bias,noun,none,C2
biased,adjective,none,C1
bicycle,noun,none,A2
bid,noun,ATTEMPT,C1
bid,noun,OFFER,C1
bid,noun,BUY,C2
bid,verb,none,C2
big,adjective,SIZE,A1
your big brother/sister,lexical_chunk,none,A2
big,adjective,IMPORTANT,A2
big,adjective,SUCCESSFUL,C1
bike,noun,BICYCLE,A1
bike,noun,MOTORCYCLE,B1
bikini,noun,none,B2
bilingual,adjective,none,C1
bill,noun,none,A2
bill,noun,MONEY,B1
foot the bill,lexical_chunk,none,C2
billion,noun,none,B2
bind,verb,TIE,C2
bind,verb,UNITE,C2
biography,noun,none,B1
biological,adjective,none,B2
biology,noun,none,A2
bird,noun,none,A1
birth,noun,BABY,A2
give birth,lexical_chunk,none,B2
"Honduran/Canadian/Indian, etc. by birth",lexical_chunk,none,B2
birth,noun,BEGINNING,C1
birthday,noun,none,A1
a bit,lexical_chunk,none,A2
bit,noun,SMALL AMOUNT,B1
quite a bit,lexical_chunk,none,B1
a bit,lexical_chunk,none,B2
"a bit of a surprise/problem/mess, etc.",lexical_chunk,none,C1
bit by bit,lexical_chunk,none,C1
bits and pieces,lexical_chunk,none,C2
bite,verb,none,B1
bite,noun,FOOD,B2
bite,noun,INJURY,B2
a bite (to eat),lexical_chunk,none,C2
bitter,adjective,TASTE,B1
bitter,adjective,ANGRY,B2
bitter,adjective,HATE,B2
bitter,adjective,DISAPPOINTED,B2
bitter,adjective,COLD,B2
to/till/until the bitter end,lexical_chunk,none,C2
bizarre,adjective,none,B2
black,adjective,COLOR,A1
black,adjective,PEOPLE,A2
black,noun,none,A2
blackboard,noun,none,A2
blackmail,noun,none,C2
blackmail,verb,none,C2
blade,noun,none,B2
blame,verb,RESPONSIBLE,B1
be to blame,lexical_chunk,none,C1
"I don't blame him/them/you, etc.",lexical_chunk,none,C2
blame,noun,none,B2
bland,adjective,NO TASTE,C2
bland,adjective,BORING,C2
blank,adjective,EMPTY,B1
go blank,lexical_chunk,none,B2
blank,adjective,NO FEELING,C2
blank,noun,SPACE,C1
blanket,noun,FOR BED,A2
blanket,noun,LAYER,C2
bleak,adjective,NO HOPE,C2
bleak,adjective,COLD,C2
bleed,verb,none,B1
blend,noun,none,C2
blind,adjective,NO SIGHT,B1
be blind to sth,lexical_chunk,none,C2
the blind,lexical_chunk,none,C1
blindness,noun,NOT SEEING,C1
blindness,noun,NOT NOTICING,C2
blink,verb,EYES,B2
in the blink of an eye,lexical_chunk,none,C2
blister,noun,none,C2
block,noun,DISTANCE,A2
block,noun,AREA,A2
block,noun,PIECE,B2
block,noun,STOP PROGRESS,C2
block,verb,PREVENT,B2
block,verb,CANNOT SEE,C1
block,verb,STOP PROGRESS,C2
blog,noun,none,B1
blog,verb,none,B1
blogger,noun,none,B1
blond,adjective,none,A2
blood,noun,RED LIQUID,A2
new blood,lexical_chunk,none,C1
in cold blood,lexical_chunk,none,C2
blood,noun,FAMILY ORIGIN,C2
make your blood run cold,lexical_chunk,none,C2
make your blood boil,lexical_chunk,none,C2
your own flesh and blood,lexical_chunk,none,C2
bloody,adjective,COVERED IN BLOOD,B2
bloody,adjective,VIOLENT,C1
blouse,noun,none,A1
blow,verb,WIND,B1
blow,verb,PERSON,B1
blow your nose,lexical_chunk,none,B1
blow,verb,SOUND,C2
blow it/your chance(s),lexical_chunk,none,C2
blow your mind,lexical_chunk,none,C2
blow away (sth) or blow (sth) away,lexical_chunk,none,B1
blow down (sth) or blow (sth) down,lexical_chunk,none,B1
blow out (sth) or blow (sth) out,lexical_chunk,none,B1
blow up sth or blow sth up,lexical_chunk,none,B1
blow up (sth/sb) or blow (sth/sb) up,lexical_chunk,none,B1
blow,noun,HIT,C2
blow,noun,BAD EVENT,C2
blue,adjective,COLOR,A1
blue,adjective,SAD,C2
blue,noun,none,A2
out of the blue,lexical_chunk,none,C1
blunt,adjective,NOT SHARP,C2
blunt,adjective,RUDE,C2
blush,verb,none,B2
board,noun,CLASSROOM,A1
board,noun,INFORMATION,A2
board,noun,GAMES,A2
board,noun,SURFACE,B1
on board,lexical_chunk,none,B1
board,noun,MEALS,B2
board,noun,ORGANIZATION,C1
board,verb,none,B1
board game,noun,none,A2
boast,verb,PRIDE,B2
boast,verb,HAVE,C2
boat,noun,none,A1
rock the boat,lexical_chunk,none,C2
be in the same boat,lexical_chunk,none,C2
miss the boat,lexical_chunk,none,C2
body,noun,PERSON,A1
body,noun,DEAD,A2
body,noun,NOT ARMS/LEGS,B1
body,noun,GROUP,C2
boil,verb,HEAT LIQUID,B1
boil,verb,COOK,B1
boil,verb,CONTAINER,B1
boiled,adjective,none,B1
boiling,adjective,none,B2
bold,adjective,EASY TO NOTICE,B2
bold,adjective,BRAVE,B2
boldly,adverb,none,B2
bomb,noun,none,B1
bomb,verb,none,B1
bomber,noun,PERSON,B2
bomber,noun,AIRCRAFT,C2
bombing,noun,none,B2
bond,noun,none,B2
bond,verb,none,C2
bone,noun,none,B1
a bone of contention,lexical_chunk,none,C2
bonus,noun,EXTRA THING,B2
bonus,noun,EXTRA MONEY,B2
book,noun,FOR READING,A1
book,noun,FOR WRITING,B1
"a book of stamps/tickets, etc.",lexical_chunk,none,C2
not judge a book by its cover,lexical_chunk,none,C2
do sth by the book,lexical_chunk,none,C2
book,verb,none,B1
book sb in or book sb into sth ,lexical_chunk,none,B1
bookcase,noun,none,A1
booklet,noun,none,B2
bookmark,noun,none,B2
bookmark,verb,none,B2
bookshelf,noun,none,A2
bookstore,noun,none,A1
boost,noun,none,B2
boost,verb,none,B2
boot,noun,none,A1
border,noun,none,B1
bored,adjective,none,B1
boring,adjective,none,A1
be born,lexical_chunk,none,A2
be born,lexical_chunk,none,C2
borrow,verb,GET,A2
borrow,verb,MONEY,C1
boss,noun,none,A2
bossy,adjective,none,B2
both,determiner,none,A1
both,pronoun,none,A1
bother,verb,ANNOY,A2
bother,verb,WORRY,B2
bother,verb,MAKE AN EFFORT,B2
can't be bothered,lexical_chunk,none,B2
bothered,adjective,none,B2
bottle,noun,none,A2
bottom,noun,LOWEST PART,A1
bottom,noun,FLAT SURFACE,A2
bottom,noun,LOWEST POSITION,B1
bottom,noun,SEA/RIVER/LAKE,B1
the bottom line,lexical_chunk,none,C2
from top to bottom,lexical_chunk,none,C2
bounce,verb,MOVE UP,B1
"bounce along/around/into, etc.",lexical_chunk,none,C1
bounce,verb,E-MAIL,C2
bounce back,lexical_chunk,SUCCESSFUL AGAIN,C1
 bound to do sth,lexical_chunk,none,B2
bound,adjective,DIRECTION,C1
bound up with sth,lexical_chunk,none,C2
boundary,noun,LINE,C1
boundary,noun,LIMIT,C1
bow,noun,KNOT,B2
bow,noun,WEAPON,B2
bow,noun,INSTRUMENT,C2
bowl,noun,none,A2
box,noun,CONTAINER,A1
box,noun,SQUARE SPACE,A2
boxing,noun,none,B1
boy,noun,none,A1
the boys,lexical_chunk,none,B2
boyfriend,noun,none,A2
bra,noun,none,B2
bracelet,noun,none,A2
bracket,noun,SYMBOL,C1
bracket,noun,GROUP,C1
brain,noun,BODY PART,A2
brain,noun,INTELLIGENCE,C1
brake,noun,none,B1
brake,verb,none,B2
branch,noun,TREE,B1
branch,noun,BUSINESS,B1
branch,noun,SUBJECT,B2
brand,noun,none,B2
brand new,adjective,none,B1
brass,noun,METAL,C1
brass,noun,MUSIC,C2
brave,adjective,none,B1
bravely,adverb,none,B1
bravery,noun,none,B2
bread,noun,none,A1
"sb's breadth of experience/knowledge/interest, etc.",lexical_chunk,none,C2
the length and breadth of sth,lexical_chunk,none,C2
break,verb,SEPARATE,A2
"break your arm/leg, etc.",lexical_chunk,none,A2
break,verb,NOT WORK,A2
break,verb,INTERRUPT,B1
break,verb,END,B2
break a record,lexical_chunk,none,B2
"break an agreement/promise, etc.",lexical_chunk,none,B2
break the law,lexical_chunk,none,B2
break the ice,lexical_chunk,none,B2
break sb's heart,lexical_chunk,none,B2
break even,lexical_chunk,none,C1
break,verb,BECOME KNOWN,C2
break the news to sb,lexical_chunk,none,C2
break free,lexical_chunk,none,C2
break,verb,STORM,C2
break down,lexical_chunk,none,B1
break in or break into sth ,lexical_chunk,none,B1
break off (sth) or break (sth) off,lexical_chunk,none,B2
break out,lexical_chunk,none,B2
break through sth,lexical_chunk,none,B2
break up,lexical_chunk,none,B1
break,noun,STOP,A2
break,noun,VACATION,B1
break,noun,DAMAGE,B1
break,noun,OPPORTUNITY,C2
breakable,adjective,none,B2
breakdown,noun,ILLNESS,B2
breakdown,noun,NOT WORKING,B2
breakdown,noun,FAILURE,C1
breakdown,noun,division,C2
breakfast,noun,none,A1
breakthrough,noun,none,B2
breast,noun,none,B1
breath,noun,AIR,B1
be out of breath,lexical_chunk,none,B2
hold your breath,lexical_chunk,none,B2
take your breath away,lexical_chunk,none,B2
take a deep breath,lexical_chunk,none,B2
catch your breath,lexical_chunk,none,C1
under your breath,lexical_chunk,none,C2
with bated breath,lexical_chunk,none,C2
hold your breath,lexical_chunk,none,C2
breathe,verb,none,B1
breathtaking,adjective,none,B2
breed,verb,none,B2
"breed resentment/confusion/contempt, etc.",lexical_chunk,none,C2
breed,noun,none,B2
breeze,noun,none,B1
bribe,noun,none,C1
bribe,verb,none,C1
bribery,noun,none,C2
brick,noun,none,B2
bride,noun,none,B1
bridge,noun,STRUCTURE,A2
bridge,noun,CONNECTION,C2
brief,adjective,SHORT,B1
in brief,lexical_chunk,none,B2
briefly,adverb,none,B1
bright,adjective,COLOR,A2
bright,adjective,LIGHT,B1
bright,adjective,INTELLIGENT,B2
bright,adjective,HAPPY,B2
look on the bright side,lexical_chunk,none,C1
brightly,adverb,none,B2
brilliant,adjective,VERY INTELLIGENT,B1
brilliant,adjective,VERY BRIGHT,B1
brilliantly,adverb,none,B2
bring,verb,TAKE WITH YOU,A2
"bring (sb) happiness/luck/peace, etc.",lexical_chunk,none,B1
bring sth to an end,lexical_chunk,none,C1
bring (sth) to light,lexical_chunk,none,C2
bring a lump to your throat,lexical_chunk,none,C2
bring back sth or bring sth back,lexical_chunk,none,A2
bring out sth or bring sth out,lexical_chunk,none,B2
bring up sb or bring sb up ,lexical_chunk,none,B1
bring up sth or bring sth up,lexical_chunk,none,B2
be on the brink of sth,lexical_chunk,none,C2
broad,adjective,WIDE,B1
"a broad range/variety, etc.",lexical_chunk,none,B1
broadband,noun,none,B2
broadcast,verb,none,B2
broaden,verb,none,C1
broadly,adverb,none,C1
broad-minded,adjective,none,C2
broccoli,noun,none,B1
brochure,noun,none,B1
broken,adjective,DAMAGED,A2
"a broken arm/leg, etc.",lexical_chunk,none,A2
broken,adjective,NOT WORKING,A2
a broken heart,lexical_chunk,none,B2
"broken English/Spanish, etc.",lexical_chunk,none,C1
a broken home,lexical_chunk,none,C2
bronze,noun,PRIZE,C1
bronze,noun,METAL,C2
bronze,adjective,METAL,C2
bronze,adjective,COLOR,C2
brother,noun,none,A1
brother-in-law,noun,none,B2
brown,adjective,none,A1
brown,noun,none,A2
browse,verb,LOOK,B2
browse,verb,COMPUTING,B2
browser,noun,none,B2
bruise,noun,none,B2
brush,noun,none,A2
brush,verb,CLEAN/ARRANGE,A2
brush,verb,TOUCH,B2
"brush sth away/off, etc.",lexical_chunk,none,C1
brush up (on) sth,lexical_chunk,none,C1
brutal,adjective,none,C1
bubble,noun,none,C1
"bubble (over) with confidence/enthusiasm, etc.",lexical_chunk,none,C1
bubble,verb,LIQUID,C2
bucket,noun,none,B1
budget,noun,none,B2
bug,noun,INSECT,B1
bug,noun,ILLNESS,B2
bug,noun,COMPUTER,B2
build,verb,none,A2
build (sth) up or build up (sth),lexical_chunk,none,C1
builder,noun,none,B1
building,noun,none,A2
bulb,noun,none,B1
in bulk,lexical_chunk,none,C1
the bulk of sth,lexical_chunk,none,C1
bulky,adjective,none,C1
bull,noun,none,B1
bullet,noun,none,B2
bulletin board,noun,none,B1
bully,verb,none,C1
bully,noun,none,C1
bump,verb,HURT,B2
bump into sth,lexical_chunk,none,B2
bump into sb,lexical_chunk,none,C1
bump,noun,BODY,C1
bump,noun,SURFACE,C1
bumper,noun,none,B2
bun,noun,none,B2
bunch,noun,THINGS,B1
bunch,noun,PEOPLE,B1
bundle,noun,TIED GROUP,C2
a bundle of energy/nerves,lexical_chunk,none,C2
burden,noun,none,C1
bureaucracy,noun,RULES,C2
bureaucracy,noun,GOVERNMENT,C2
burger,noun,none,A2
burglar,noun,none,B2
burglary,noun,none,B2
burial,noun,none,C2
burn,verb,DESTROY,B1
burn,verb,PRODUCE FLAMES,B1
burn,verb,COOK TOO LONG,B1
burn,verb,HURT BODY,B1
burn,verb,COPY,B2
burn,verb,PRODUCE ENERGY,B2
burn the midnight oil,lexical_chunk,none,C2
burn down (sth) or burn (sth) down,lexical_chunk,none,B2
burn out,lexical_chunk,none,B2
burning,adjective,ON FIRE,B1
a burning issue/question,lexical_chunk,none,C1
"burning ambition/desire, etc.",lexical_chunk,none,C1
burst,verb,BREAK APART,B2
"be bursting with confidence/joy, etc.",lexical_chunk,none,C2
burst into flames,lexical_chunk,none,C2
burst into sth ,lexical_chunk,ENTER SUDDENLY,B2
burst into sth ,lexical_chunk,MAKE A NOISE,B2
burst out ,lexical_chunk,none,B2
bury,verb,DEAD BODY,B1
bury,verb,HIDE,B2
bury yourself in sth,lexical_chunk,none,C2
bury your face/head in sth,lexical_chunk,none,C2
bus,noun,none,A1
bush,noun,none,B2
the bush,lexical_chunk,none,C2
business,noun,SELLING,A1
business,noun,ORGANIZATION,A2
business,noun,WORK,B1
be none of sb's  business,lexical_chunk,none,B2
